order_id,order_date,sku,sub-category,quantity,order_status,settlement_date,mrp,discount,net_realized_sale,igst,cgst,sgst,tcs,tds,commission,shipping_fee,fixed_fee,pick_and_pack_fee,payment_gateway_fee,tax_on_logistics,zone,actual_settlement,tax_on_commissions,_merge,payment_status,final_settlement,returned_quantity,net_delivered_quantity
8549435932,2025-07-02,78683220,Trousers,1,delivered,2025-07-22,1099.0,-649.0,391.0,18.62,0.0,0.0,-1.862,-0.372,-23.460169491525424,0.0,-27.0,-17.0,0.0,-7.92,NATIONAL,309.16299999999995,-4.222830508474576,both,settled,309.16299999999995,,
8562604749,2025-07-11,78683108,Trousers,1,delivered,2025-07-30,599.0,-204.0,336.0,16.0,0.0,0.0,-1.6,-0.32,-20.160169491525426,0.0,-27.0,0.0,0.0,-4.86,ZONAL,278.431,-3.6288305084745764,both,settled,278.431,,
8562131833,2025-07-11,107416595,Kurta Sets,1,delivered,2025-07-30,1999.0,-1020.0,861.0,41.0,0.0,0.0,-4.1,-0.82,-129.15,0.0,-27.0,0.0,0.0,-4.86,ZONAL,671.823,-23.247,both,settled,671.823,,
8581566244,2025-07-24,102957187,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8558480766,2025-07-08,78683264,Trousers,1,delivered,2025-07-28,599.0,-204.0,336.0,16.0,0.0,0.0,-1.6,-0.32,-20.160169491525426,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,278.431,-3.6288305084745764,both,settled,278.431,,
8586991183,2025-07-28,102360576,Kurtas,1,returned,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,1.0,0.0
8560737396,2025-07-10,102957153,Kurtas,1,delivered,2025-07-28,2599.0,-1326.0,1102.0,118.07,0.0,0.0,-4.92,-0.984,-209.37966101694917,0.0,-45.0,0.0,0.0,-8.1,ZONAL,795.928,-37.68833898305085,both,settled,795.9279999999999,,
8557455272,2025-07-08,78682658,Palazzos,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8585032342,2025-07-26,103849714,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8572638036,2025-07-17,78683266,Trousers,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8562067046,2025-07-11,113444890,Kurtas,1,delivered,2025-07-29,2599.0,-1300.0,1128.0,120.86,0.0,0.0,-5.036,-1.007,-214.32796610169493,0.0,-45.0,0.0,0.0,-8.1,ZONAL,815.9899999999999,-38.579033898305084,both,settled,815.9499999999999,,
8565140003,2025-07-13,107660489,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8548490750,2025-07-02,78683180,Trousers,1,delivered,2025-07-21,799.0,-304.0,436.0,20.76,0.0,0.0,-2.076,-0.415,-26.160169491525426,0.0,-27.0,-17.0,0.0,-7.92,ZONAL,350.72,-4.708830508474577,both,settled,350.71999999999997,,
8584584079,2025-07-26,106935719,Ethnic Dresses,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8588100807,2025-07-29,107416475,Kurta Sets,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8565506771,2025-07-13,102360601,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8566795236,2025-07-14,107416156,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8578414950,2025-07-22,113455223,Ethnic Dresses,1,returned,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,1.0,0.0
8578363153,2025-07-22,110664963,Kurta Sets,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8546265908,2025-06-30,107416164,Kurtas,1,delivered,2025-07-16,1599.0,-800.0,704.9999999999999,0.0,16.79,16.79,-3.357,-0.671,-98.7,0.0,-27.0,-17.0,0.0,-7.92,LOCAL,532.586,-17.766,both,settled,532.586,,
8550182393,2025-07-03,103849692,Kurtas,1,delivered,2025-07-22,1399.0,-854.0,451.0,21.48,0.0,0.0,-2.148,-0.43,-36.07966101694915,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,373.988,-6.494338983050847,both,settled,373.98799999999994,,
8583788369,2025-07-26,110664967,Kurta Sets,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8563870173,2025-07-12,102957221,Kurtas,1,delivered,2025-07-30,1399.0,-714.0,591.0,28.14,0.0,0.0,-2.814,-0.563,-82.73983050847458,0.0,-27.0,0.0,0.0,-4.86,ZONAL,458.13,-14.893169491525425,both,settled,458.13,,
8580915329,2025-07-24,110664757,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8569011318,2025-07-15,110664961,Kurta Sets,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
