order_id,order_date,sku,sub-category,quantity,order_status,settlement_date,mrp,discount,net_realized_sale,igst,cgst,sgst,tcs,tds,commission,shipping_fee,fixed_fee,pick_and_pack_fee,payment_gateway_fee,tax_on_logistics,zone,actual_settlement,tax_on_commissions,_merge,payment_status,final_settlement,returned_quantity,net_delivered_quantity,igst_amt,cgst_amt,sgst_amt
8549435932.0,2025-07-02 00:00:00,78683220,Trousers,1,delivered,2025-07-22,1099.0,-649.0,391.0,18.62,0.0,0.0,-1.862,-0.372,-23.460169491525424,0.0,-27.0,-17.0,0.0,-7.92,NATIONAL,309.16299999999995,-4.222830508474576,both,settled,309.16299999999995,,,,,
8562604749.0,2025-07-11 00:00:00,78683108,Trousers,1,delivered,2025-07-30,599.0,-204.0,336.0,16.0,0.0,0.0,-1.6,-0.32,-20.160169491525426,0.0,-27.0,0.0,0.0,-4.86,ZONAL,278.431,-3.6288305084745764,both,settled,278.431,,,,,
8562131833.0,2025-07-11 00:00:00,107416595,Kurta Sets,1,delivered,2025-07-30,1999.0,-1020.0,861.0,41.0,0.0,0.0,-4.1,-0.82,-129.15,0.0,-27.0,0.0,0.0,-4.86,ZONAL,671.823,-23.247,both,settled,671.823,,,,,
8558480766.0,2025-07-08 00:00:00,78683264,Trousers,1,delivered,2025-07-28,599.0,-204.0,336.0,16.0,0.0,0.0,-1.6,-0.32,-20.160169491525426,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,278.431,-3.6288305084745764,both,settled,278.431,,,,,
8560737396.0,2025-07-10 00:00:00,102957153,Kurtas,1,delivered,2025-07-28,2599.0,-1326.0,1102.0,118.07,0.0,0.0,-4.92,-0.984,-209.37966101694917,0.0,-45.0,0.0,0.0,-8.1,ZONAL,795.928,-37.68833898305085,both,settled,795.9279999999999,,,,,
8562067046.0,2025-07-11 00:00:00,113444890,Kurtas,1,delivered,2025-07-29,2599.0,-1300.0,1128.0,120.86,0.0,0.0,-5.036,-1.007,-214.32796610169493,0.0,-45.0,0.0,0.0,-8.1,ZONAL,815.9899999999999,-38.579033898305084,both,settled,815.9499999999999,,,,,
8548490750.0,2025-07-02 00:00:00,78683180,Trousers,1,delivered,2025-07-21,799.0,-304.0,436.0,20.76,0.0,0.0,-2.076,-0.415,-26.160169491525426,0.0,-27.0,-17.0,0.0,-7.92,ZONAL,350.72,-4.708830508474577,both,settled,350.71999999999997,,,,,
8546265908.0,2025-06-30 00:00:00,107416164,Kurtas,1,delivered,2025-07-16,1599.0,-800.0,704.9999999999999,0.0,16.79,16.79,-3.357,-0.671,-98.7,0.0,-27.0,-17.0,0.0,-7.92,LOCAL,532.586,-17.766,both,settled,532.586,,,,,
8550182393.0,2025-07-03 00:00:00,103849692,Kurtas,1,delivered,2025-07-22,1399.0,-854.0,451.0,21.48,0.0,0.0,-2.148,-0.43,-36.07966101694915,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,373.988,-6.494338983050847,both,settled,373.98799999999994,,,,,
8563870173.0,2025-07-12 00:00:00,102957221,Kurtas,1,delivered,2025-07-30,1399.0,-714.0,591.0,28.14,0.0,0.0,-2.814,-0.563,-82.73983050847458,0.0,-27.0,0.0,0.0,-4.86,ZONAL,458.13,-14.893169491525425,both,settled,458.13,,,,,
8552689376.0,2025-07-04 00:00:00,110664706,Kurtas,1,delivered,2025-07-21,1999.0,-1020.0,885.0000000000001,0.0,21.07,21.07,-4.214,-0.843,-123.9,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,701.881,-22.302,both,settled,701.881,,,,,
8561033652.0,2025-07-11 00:00:00,78683230,Trousers,1,returned,2025-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-167.0,-27.0,0.0,0.0,-34.92,NATIONAL,778.394,0.0,both,settled,-228.92000000000002,1.0,0.0,,,
8562243137.0,2025-07-11 00:00:00,102360692,Kurtas,1,delivered,2025-07-30,2999.0,-1530.0,1298.0,139.07,0.0,0.0,-5.795,-1.159,-246.62033898305086,0.0,-45.0,0.0,0.0,-8.1,ZONAL,946.934,-44.39166101694915,both,settled,946.934,,,,,
8562942139.0,2025-07-12 00:00:00,102957106,Kurtas,1,delivered,2025-07-30,2599.0,-1612.0,893.0,42.52,0.0,0.0,-4.252,-0.85,-125.02033898305085,0.0,-27.0,0.0,0.0,-4.86,ZONAL,708.514,-22.503661016949152,both,settled,708.514,,,,,
