Order Date,Order No.,Sale,RT,RTO,Net Sale,Commission,Logistics,TCS,TDS,Settled Amount,Total,SPF,Net Receivable,Remarks,Ageing(Days),Slab
2025-07-02,8549435932,391.0,0.0,0.0,391.0,27.683,51.92,1.862,0.372,309.16299999999995,391.0,0.0,0.0,Fully Paid,85,>60
2025-07-11,8562604749,336.0,0.0,0.0,336.0,23.789,31.86,1.6,0.32,278.431,336.0,0.0,0.0,Fully Paid,76,>60
2025-07-11,8562131833,861.0,0.0,0.0,861.0,152.397,31.86,4.1,0.82,671.823,861.0000000000001,0.0,-1.1368683772161603e-13,Fully Paid,76,>60
2025-07-24,8581566244,689.0,0.0,0.0,689.0,,,,,,0.0,0.0,689.0,Pending Payment,63,>60
2025-07-08,8558480766,336.0,0.0,0.0,336.0,23.789,31.86,1.6,0.32,278.431,336.0,0.0,0.0,Fully Paid,79,>60
2025-07-28,8586991183,885.0,885.0,0.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,59,30-60
2025-07-10,8560737396,1102.0,0.0,0.0,1102.0,247.068,53.1,4.92,0.984,795.928,1102.0,0.0,0.0,Fully Paid,77,>60
2025-07-08,8557455272,436.0,0.0,436.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,79,>60
2025-07-26,8585032342,1298.0,0.0,0.0,1298.0,,,,,,0.0,0.0,1298.0,Pending Payment,61,>60
2025-07-17,8572638036,336.0,0.0,0.0,336.0,,,,,,0.0,0.0,336.0,Pending Payment,70,>60
2025-07-11,8562067046,1128.0,0.0,0.0,1128.0,252.907,53.1,5.036,1.007,815.9899999999999,1128.04,0.0,-0.03999999999996362,Fully Paid,76,>60
2025-07-13,8565140003,493.0,0.0,0.0,493.0,,,,,,0.0,0.0,493.0,Pending Payment,74,>60
2025-07-02,8548490750,436.0,0.0,0.0,436.0,30.869000000000003,51.92,2.076,0.415,350.72,436.0000000000001,0.0,-1.1368683772161603e-13,Fully Paid,85,>60
2025-07-26,8584584079,689.0,0.0,0.0,689.0,,,,,,0.0,0.0,689.0,Pending Payment,61,>60
2025-07-29,8588100807,861.0,0.0,0.0,861.0,,,,,,0.0,0.0,861.0,Pending Payment,58,30-60
2025-07-13,8565506771,689.0,0.0,0.0,689.0,,,,,,0.0,0.0,689.0,Pending Payment,74,>60
2025-07-14,8566795236,689.0,0.0,0.0,689.0,,,,,,0.0,0.0,689.0,Pending Payment,73,>60
2025-07-22,8578414950,705.0,705.0,0.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,65,>60
2025-07-22,8578363153,861.0,0.0,0.0,861.0,,,,,,0.0,0.0,861.0,Pending Payment,65,>60
2025-06-30,8546265908,705.0,0.0,0.0,705.0,116.46600000000001,51.92,3.357,0.671,532.586,705.0,0.0,0.0,Fully Paid,87,>60
2025-07-03,8550182393,451.0,0.0,0.0,451.0,42.574,31.86,2.148,0.43,373.988,451.00000000000006,0.0,-5.684341886080802e-14,Fully Paid,84,>60
2025-07-26,8583788369,1275.0,0.0,0.0,1275.0,,,,,,0.0,0.0,1275.0,Pending Payment,61,>60
2025-07-12,8563870173,591.0,0.0,0.0,591.0,97.63300000000001,31.86,2.814,0.563,458.13,591.0,0.0,0.0,Fully Paid,75,>60
2025-07-24,8580915329,1298.0,0.0,0.0,1298.0,,,,,,0.0,0.0,1298.0,Pending Payment,63,>60
2025-07-15,8569011318,861.0,0.0,0.0,861.0,,,,,,0.0,0.0,861.0,Pending Payment,72,>60
2025-07-27,8585736577,905.0,0.0,0.0,905.0,,,,,,0.0,0.0,905.0,Pending Payment,60,30-60
2025-07-01,8547862144,388.0,0.0,388.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,86,>60
2025-07-04,8552689376,885.0,0.0,0.0,885.0,146.202,31.86,4.214,0.843,701.881,885.0,0.0,0.0,Fully Paid,83,>60
2025-07-26,8583734778,493.0,0.0,0.0,493.0,,,,,,0.0,0.0,493.0,Pending Payment,61,>60
2025-07-26,8584221645,332.0,0.0,0.0,332.0,,,,,,0.0,0.0,332.0,Pending Payment,61,>60
2025-07-26,8583892121,812.0,0.0,0.0,812.0,,,,,,0.0,0.0,812.0,Pending Payment,61,>60
